Air temperature [K],Process temperature [K],Torque [Nm],Tool wear [min],Rotational speed [rad/s],Power [W],type_encoded
298.1,308.6,42.8,0,162.4203401905923,6951.5905601573495,2
298.2,308.7,46.3,3,147.44541520848094,6826.722724152667,1
298.1,308.5,49.4,5,156.87019316925034,7749.387542560967,1
298.2,308.6,39.5,7,150.06340908647243,5927.504658915661,1
298.2,308.7,40.0,9,147.44541520848094,5897.816608339237,1
298.1,308.6,41.9,11,149.22565104551518,6252.554778807085,2
298.1,308.6,42.4,14,163.1533784764299,6917.703247400628,1
298.1,308.6,40.2,16,159.90706606772045,6428.264055922363,1
298.3,308.7,28.6,18,174.56783178447282,4992.639989035923,2
298.5,309.0,28.0,21,182.31709366332765,5104.878622573175,2
298.4,308.9,23.9,24,186.61060362323371,4459.993426595285,0
298.6,309.1,44.3,29,149.01621153527586,6601.41817101272,0
298.6,309.1,51.1,34,140.21975210522442,7165.229332576968,2
298.6,309.2,30.0,37,182.4218134184473,5472.654402553419,2
298.6,309.2,19.6,40,213.10470166850763,4176.85215270275,1
298.6,309.2,48.4,42,161.47786239451537,7815.528539894543,1
298.6,309.2,46.6,44,137.28759896187395,6397.602111623327,2
298.7,309.2,45.6,47,147.65485471872026,6733.061375173644,2
298.8,309.2,54.5,50,136.76400018627567,7453.6380101520235,0
298.9,309.3,32.5,55,170.90264035528475,5554.3358115467545,2
298.9,309.3,42.7,58,143.9896632895322,6148.358622463025,0
298.8,309.3,44.8,63,151.84364492350667,6802.595292573099,1
298.9,309.3,30.7,65,165.56193284418208,5082.75133831639,2
299.0,309.4,25.7,68,184.09732950036187,4731.3013681593,1
299.0,309.4,37.3,70,163.4675377417889,6097.339157768725,2
299.0,309.5,23.3,73,194.8834642776868,4540.7847176701025,1
299.1,309.5,39.0,75,158.33626974092556,6175.114519896097,1
299.1,309.4,24.6,77,189.64747652170382,4665.327922433914,0
299.1,309.4,44.2,82,150.6917276171904,6660.574360679816,1
299.0,309.4,30.1,84,177.29054541758398,5336.445417069278,1
299.1,309.5,48.2,86,140.21975210522442,6758.592051471817,2
299.0,309.4,25.5,89,188.28611970514825,4801.296052481281,1
299.0,309.4,48.3,91,148.59733251479722,7177.251160464705,1
298.9,309.3,32.5,93,174.35839227423352,5666.647748912589,1
298.8,309.1,34.7,95,163.25809823154958,5665.056008634771,2
298.8,309.2,48.6,98,152.053084433746,7389.7799034800555,2
298.9,309.2,36.7,101,165.56193284418208,6076.122935381482,2
298.8,309.1,39.2,104,150.6917276171904,5907.115722593864,1
298.9,309.2,50.7,106,144.40854231001083,7321.51309511755,0
298.8,309.1,52.5,111,141.3716694115407,7422.0126441058865,1
298.8,309.1,45.4,113,142.6283064729766,6475.325113873137,1
298.8,309.1,50.8,115,143.25662500369455,7277.436550187683,1
298.8,309.1,49.1,117,143.25662500369455,7033.900287681403,2
298.8,309.2,48.5,120,143.6755040241732,6968.2619451723995,0
298.8,309.1,47.5,125,154.14747953613917,7322.00527796661,2
